#YY,MM,DD,WVHT,ATMP,WTMP
2020,1,1,1.01,999.0,15.8
2020,1,1,0.93,999.0,15.7
2020,1,1,0.97,999.0,15.7
2020,1,1,0.92,999.0,15.7
2020,1,1,1.04,999.0,15.7
2020,1,1,1.0,999.0,15.6
2020,1,1,0.99,999.0,15.6
2020,1,1,0.97,999.0,15.6
2020,1,1,1.05,999.0,15.7
2020,1,1,1.06,999.0,15.7
2020,1,1,1.02,999.0,15.7
2020,1,1,1.11,999.0,15.7
2020,1,1,1.13,999.0,15.7
2020,1,1,1.09,999.0,15.7
2020,1,1,1.1,999.0,15.7
2020,1,1,1.06,999.0,15.6
2020,1,1,1.04,999.0,15.6
2020,1,1,1.13,999.0,15.6
2020,1,1,1.04,999.0,15.6
2020,1,1,1.11,999.0,15.6
2020,1,1,1.2,999.0,15.6
2020,1,1,1.1,999.0,15.6
2020,1,1,1.11,999.0,15.5
2020,1,1,1.1,999.0,15.5
2020,1,1,1.21,999.0,15.5
2020,1,1,1.21,999.0,15.5
2020,1,1,1.17,999.0,15.5
2020,1,1,1.12,999.0,15.5
2020,1,1,1.13,999.0,15.5
2020,1,1,1.11,999.0,15.5
2020,1,1,1.11,999.0,15.5
2020,1,1,1.15,999.0,15.5
2020,1,1,1.07,999.0,15.5
2020,1,1,1.05,999.0,15.5
2020,1,1,1.07,999.0,15.5
2020,1,1,1.07,999.0,15.5
2020,1,1,1.04,999.0,15.5
2020,1,1,1.03,999.0,15.5
2020,1,1,1.06,999.0,15.6
2020,1,1,1.07,999.0,15.7
2020,1,1,1.15,999.0,15.7
2020,1,1,1.14,999.0,15.8
2020,1,1,1.11,999.0,15.8
2020,1,1,1.14,999.0,15.9
2020,1,1,1.28,999.0,15.9
2020,1,1,1.14,999.0,15.8
2020,1,1,1.2,999.0,15.8
2020,1,1,1.15,999.0,15.7
2020,1,2,1.29,999.0,15.6
2020,1,2,1.26,999.0,15.6
2020,1,2,1.23,999.0,15.6
2020,1,2,1.29,999.0,15.6
2020,1,2,1.27,999.0,15.5
2020,1,2,1.33,999.0,15.5
2020,1,2,1.2,999.0,15.5
2020,1,2,1.28,999.0,15.5
2020,1,2,1.35,999.0,15.5
2020,1,2,1.19,999.0,15.5
2020,1,2,1.38,999.0,15.5
2020,1,2,1.3,999.0,15.5
2020,1,2,1.3,999.0,15.5
2020,1,2,1.4,999.0,15.5
2020,1,2,1.47,999.0,15.5
2020,1,2,1.49,999.0,15.5
2020,1,2,1.36,999.0,15.5
2020,1,2,1.6,999.0,15.5
2020,1,2,1.52,999.0,15.5
2020,1,2,1.45,999.0,15.5
2020,1,2,1.53,999.0,15.5
2020,1,2,1.44,999.0,15.5
2020,1,2,1.53,999.0,15.5
2020,1,2,1.48,999.0,15.5
2020,1,2,1.53,999.0,15.5
2020,1,2,1.62,999.0,15.5
2020,1,2,1.52,999.0,15.5
2020,1,2,1.43,999.0,15.5
2020,1,2,1.48,999.0,15.5
2020,1,2,1.49,999.0,15.5
2020,1,2,1.4,999.0,15.5
2020,1,2,1.39,999.0,15.5
2020,1,2,1.36,999.0,15.5
2020,1,2,1.36,999.0,15.5
2020,1,2,1.45,999.0,15.5
2020,1,2,1.36,999.0,15.5
2020,1,2,1.36,999.0,15.6
2020,1,2,1.48,999.0,15.6
2020,1,2,1.49,999.0,15.7
2020,1,2,1.39,999.0,15.7
2020,1,2,1.38,999.0,15.8
2020,1,2,1.35,999.0,16.0
2020,1,2,1.27,999.0,16.0
2020,1,2,1.43,999.0,16.0
2020,1,2,1.35,999.0,15.9
2020,1,2,1.42,999.0,15.9
2020,1,2,1.38,999.0,15.9
2020,1,2,1.52,999.0,15.9
2020,1,3,1.35,999.0,15.9
2020,1,3,1.51,999.0,15.8
2020,1,3,1.51,999.0,15.8
2020,1,3,1.51,999.0,15.7
2020,1,3,1.61,999.0,15.7
2020,1,3,1.71,999.0,15.7
2020,1,3,1.47,999.0,15.7
2020,1,3,1.35,999.0,15.7
2020,1,3,1.29,999.0,15.7
2020,1,3,1.52,999.0,15.6
2020,1,3,1.28,999.0,15.6
2020,1,3,1.34,999.0,15.6
2020,1,3,1.4,999.0,15.6
2020,1,3,1.4,999.0,15.6
2020,1,3,1.42,999.0,15.6
2020,1,3,1.4,999.0,15.6
2020,1,3,1.68,999.0,15.6
2020,1,3,1.59,999.0,15.6
2020,1,3,1.44,999.0,15.6
2020,1,3,1.48,999.0,15.5
2020,1,3,1.41,999.0,15.5
2020,1,3,1.59,999.0,15.6
2020,1,3,1.56,999.0,15.6
2020,1,3,1.54,999.0,15.6
2020,1,3,1.57,999.0,15.6
2020,1,3,1.45,999.0,15.5
2020,1,3,1.44,999.0,15.6
2020,1,3,1.4,999.0,15.6
2020,1,3,1.52,999.0,15.6
2020,1,3,1.22,999.0,15.6
2020,1,3,1.3,999.0,15.6
2020,1,3,1.28,999.0,15.6
2020,1,3,1.42,999.0,15.6
2020,1,3,1.3,999.0,15.6
2020,1,3,1.42,999.0,15.6
2020,1,3,1.3,999.0,15.7
2020,1,3,1.36,999.0,15.7
2020,1,3,1.36,999.0,15.8
2020,1,3,1.26,999.0,15.9
2020,1,3,1.4,999.0,15.9
2020,1,3,1.35,999.0,16.0
2020,1,3,1.4,999.0,16.1
2020,1,3,1.42,999.0,16.3
2020,1,3,1.28,999.0,16.3
2020,1,3,1.29,999.0,16.3
2020,1,3,1.45,999.0,16.3
2020,1,3,1.36,999.0,16.4
2020,1,3,1.2,999.0,16.3
2020,1,4,1.22,999.0,16.3
2020,1,4,1.22,999.0,16.2
2020,1,4,1.19,999.0,16.1
2020,1,4,1.23,999.0,16.0
2020,1,4,1.2,999.0,16.0
2020,1,4,1.17,999.0,15.9
2020,1,4,1.16,999.0,15.9
2020,1,4,1.18,999.0,15.9
2020,1,4,1.32,999.0,15.9
2020,1,4,1.18,999.0,15.8
2020,1,4,1.19,999.0,15.8
2020,1,4,1.27,999.0,15.8
2020,1,4,1.15,999.0,15.8
2020,1,4,1.11,999.0,15.7
2020,1,4,1.14,999.0,15.7
2020,1,4,1.28,999.0,15.6
2020,1,4,1.2,999.0,15.6
2020,1,4,1.16,999.0,15.6
2020,1,4,1.09,999.0,15.6
2020,1,4,1.05,999.0,15.6
2020,1,4,1.16,999.0,15.6
2020,1,4,1.14,999.0,15.6
2020,1,4,1.02,999.0,15.6
2020,1,4,1.18,999.0,15.6
2020,1,4,1.08,999.0,15.6
2020,1,4,1.06,999.0,15.6
2020,1,4,1.02,999.0,15.6
2020,1,4,0.97,999.0,15.6
2020,1,4,0.96,999.0,15.6
2020,1,4,1.04,999.0,15.6
2020,1,4,1.05,999.0,15.6
2020,1,4,0.95,999.0,15.6
2020,1,4,1.06,999.0,15.6
2020,1,4,0.96,999.0,15.6
